iter	Passed	Remaining
0	30	11981
1	52	10525
2	83	11047
3	119	11860
4	151	11961
5	189	12430
6	227	12781
7	261	12826
8	307	13358
9	352	13732
10	391	13847
11	425	13761
12	459	13678
13	497	13713
14	517	13274
15	542	13022
16	564	12726
17	587	12470
18	610	12232
19	631	11998
20	646	11665
21	661	11359
22	676	11092
23	691	10838
24	707	10605
25	721	10385
26	737	10192
27	755	10033
28	771	9874
29	787	9707
30	802	9555
31	820	9431
32	842	9366
33	865	9314
34	889	9278
35	914	9241
36	933	9154
37	955	9102
38	978	9061
39	997	8978
40	1021	8947
41	1063	9069
42	1091	9063
43	1117	9044
44	1148	9061
45	1181	9093
46	1212	9108
47	1237	9077
48	1259	9020
49	1281	8970
50	1320	9038
51	1343	8993
52	1365	8943
53	1392	8919
54	1411	8854
55	1429	8780
56	1450	8726
57	1465	8642
58	1483	8572
59	1498	8494
60	1514	8414
61	1529	8336
62	1544	8259
63	1559	8185
64	1574	8114
65	1590	8048
66	1606	7983
67	1622	7921
68	1638	7862
69	1655	7805
70	1676	7770
71	1695	7725
72	1715	7683
73	1735	7643
74	1755	7606
75	1775	7570
76	1795	7533
77	1815	7496
78	1834	7452
79	1855	7420
80	1874	7382
81	1894	7345
82	1915	7314
83	1938	7290
84	1960	7264
85	1979	7227
86	2002	7204
87	2019	7160
88	2035	7113
89	2051	7066
90	2066	7018
91	2083	6974
92	2101	6936
93	2119	6898
94	2134	6853
95	2149	6808
96	2165	6763
97	2180	6718
98	2195	6674
99	2210	6631
100	2225	6588
101	2240	6545
102	2256	6507
103	2271	6465
104	2290	6435
105	2309	6406
106	2331	6383
107	2352	6359
108	2368	6322
109	2383	6284
110	2400	6248
111	2416	6213
112	2431	6176
113	2448	6143
114	2467	6114
115	2488	6093
116	2518	6091
117	2543	6078
118	2567	6063
119	2589	6041
120	2610	6019
121	2630	5994
122	2650	5969
123	2670	5943
124	2686	5910
125	2706	5885
126	2723	5853
127	2748	5840
128	2771	5823
129	2790	5796
130	2807	5765
131	2823	5732
132	2838	5698
133	2853	5664
134	2867	5629
135	2883	5596
136	2898	5563
137	2914	5533
138	2930	5502
139	2945	5470
140	2961	5439
141	2976	5408
142	2992	5377
143	3007	5347
144	3025	5320
145	3042	5293
146	3060	5267
147	3077	5240
148	3095	5214
149	3111	5186
150	3132	5165
151	3151	5141
152	3170	5118
153	3193	5101
154	3213	5079
155	3233	5056
156	3253	5035
157	3273	5014
158	3293	4992
159	3316	4974
160	3337	4953
161	3357	4932
162	3374	4906
163	3391	4880
164	3406	4852
165	3422	4824
166	3438	4798
167	3456	4772
168	3473	4748
169	3490	4722
170	3510	4701
171	3528	4677
172	3543	4649
173	3559	4623
174	3576	4597
175	3593	4573
176	3613	4552
177	3634	4532
178	3657	4515
179	3681	4499
180	3701	4479
181	3723	4459
182	3739	4434
183	3756	4410
184	3773	4385
185	3791	4362
186	3811	4341
187	3828	4317
188	3846	4294
189	3864	4271
190	3883	4249
191	3900	4225
192	3920	4204
193	3940	4184
194	3959	4162
195	3978	4141
196	3997	4119
197	4016	4098
198	4033	4074
199	4048	4048
200	4063	4023
201	4079	3998
202	4099	3978
203	4117	3955
204	4135	3933
205	4151	3910
206	4168	3886
207	4184	3862
208	4201	3839
209	4219	3818
210	4236	3794
211	4252	3771
212	4270	3748
213	4286	3725
214	4301	3700
215	4316	3677
216	4331	3653
217	4346	3629
218	4364	3607
219	4380	3583
220	4397	3562
221	4418	3542
222	4435	3520
223	4457	3502
224	4480	3484
225	4501	3465
226	4520	3445
227	4542	3426
228	4567	3410
229	4588	3391
230	4615	3376
231	4637	3358
232	4656	3337
233	4675	3317
234	4697	3298
235	4721	3280
236	4744	3263
237	4767	3245
238	4795	3230
239	4819	3212
240	4856	3204
241	4884	3189
242	4906	3170
243	4928	3151
244	4950	3132
245	4972	3112
246	4990	3091
247	5010	3071
248	5029	3050
249	5050	3030
250	5072	3011
251	5091	2990
252	5106	2967
253	5121	2943
254	5136	2920
255	5149	2896
256	5165	2874
257	5182	2852
258	5198	2830
259	5219	2810
260	5240	2790
261	5257	2769
262	5276	2748
263	5295	2728
264	5314	2707
265	5332	2686
266	5350	2665
267	5367	2643
268	5385	2622
269	5405	2602
270	5426	2583
271	5447	2563
272	5469	2544
273	5491	2525
274	5510	2504
275	5529	2484
276	5547	2463
277	5563	2441
278	5577	2419
279	5592	2396
280	5606	2374
281	5620	2351
282	5637	2330
283	5655	2309
284	5672	2289
285	5690	2268
286	5706	2246
287	5722	2225
288	5737	2203
289	5752	2182
290	5769	2161
291	5788	2140
292	5812	2122
293	5831	2102
294	5850	2082
295	5869	2062
296	5888	2042
297	5906	2021
298	5927	2002
299	5956	1985
300	5982	1967
301	6009	1950
302	6035	1932
303	6065	1915
304	6087	1895
305	6104	1875
306	6121	1854
307	6142	1834
308	6161	1814
309	6183	1795
310	6205	1775
311	6227	1756
312	6249	1737
313	6271	1717
314	6291	1697
315	6313	1678
316	6338	1659
317	6360	1640
318	6388	1622
319	6412	1603
320	6435	1583
321	6458	1564
322	6480	1544
323	6498	1524
324	6516	1503
325	6533	1482
326	6549	1462
327	6567	1441
328	6583	1420
329	6601	1400
330	6619	1379
331	6635	1359
